,Rank,Artist,Song,Year
0,1,Glenn Miller,Chattanooga Choo Choo,1941
1,2,Sammy Kaye,Daddy,1941
2,3,Artie Shaw,Stardust,1941
3,4,The Andrews Sisters,Boogie Woogie Bugle Boy,1941
4,5,Jimmy Dorsey,Amapola (Pretty Little Poppy),1941
5,6,Jimmy Dorsey,Green Eyes,1941
6,7,Glenn Miller,Elmer’s Tune,1941
7,8,Duke Ellington,Take The ‘A’ Train,1941
8,9,Billie Holiday,God Bless the Child,1941
9,10,Jimmy Dorsey,Maria Elena,1941
10,11,Horace Heidt,I Don’t Want to Set the World On Fire,1941
11,12,Freddy Martin,Piano Concerto in B Flat,1941
12,13,The Ink Spots,I Don’t Want to Set the World On Fire,1941
13,14,Jimmy Dorsey,Blue Champagne,1941
14,15,Glenn Miller,Song of the Volga Boatmen,1941
15,16,Jimmy Dorsey,My Sister & I,1941
16,17,Harry James,You Made Me Love You,1941
17,18,Tommy Dorsey & Frank Sinatra,Dolores,1941
18,19,Glenn Miller,You & I,1941
19,20,Benny Goodman,There’ll Be Some Changes Made,1941
20,21,The Sons of the Pioneers,Cool Water,1941
21,22,Xavier Cugat,Perfidia (Tonight),1941
22,23,Jimmy Dorsey,I Hear A Rhapsody,1941
23,24,Guy Lombardo,And the Band Played On,1941
24,25,Vera Lynn,A Nightingale Sang in Berkeley Square,1941
25,26,Dick Robertson,Ferryboat Serenade,1941
26,27,The Jesters,It’s a Great Day for the Irish,1941
27,28,The Tic-Toc Rhythm Orchestra,Ferryboat Serenade,1941
28,29,Judy Garland,It’s a Great Day for the Irish,1941
29,30,Francisco Alves,Canta Brasil,1941
30,31,George Formby,Bless ’em All (The Service Song),1941
31,32,Al Bowlly,When That Man is Dead & Gone,1941
32,33,Ernest Tubb,Walking the Floor Over You,1941
33,34,Glenn Miller,Anvil Chorus,1941
34,35,Glenn Miller,I Dreamt I Dwelt In Harlem,1941
35,36,The Andrews Sisters,I’ll Be With You in Apple Blossom Time,1941
36,37,Charlie Barnet,I Hear A Rhapsody,1941
37,38,Bing Crosby,Dolores,1941
38,39,Artie Shaw,Dancing in the Dark,1941
39,40,Artie Shaw,Summit Ridge Drive,1941
40,41,Wayne King,You Are My Sunshine,1941
41,42,Tommy Dorsey & Frank Sinatra,This Love of Mine,1941
42,43,Jimmy Dorsey,High On A Windy Hill,1941
43,44,Joe Loss Orchestra,‘V’ Stands For Victory,1941
44,45,Carlos Galhardo,Ala Li La,1941
45,46,Tommy Dorsey,Yes Indeed,1941
46,47,Big Maceo Merriweather,Worried Life Blues,1941
47,48,Gene Krupa,High On A Windy Hill,1941
48,49,Jimmy Dorsey,Yours,1941
49,50,Wayne King,Maria Elena,1941
50,51,Horace Heidt,G’bye Now,1941
51,52,Freddy Martin,The Hut Sut Song (A Swedish Serenade),1941
52,53,Tommy Dorsey & Frank Sinatra,Oh Look At Me Now,1941
53,54,Gene Krupa,It All Comes Back To Me Now,1941
54,55,Bing Crosby,Shepherd’s Serenade,1941
55,56,Tommy Dorsey,Let’s Get Away From It All,1941
56,57,Gene Krupa,Let me off uptown,1941
57,58,Washboard Sam,She Belongs to The Devil,1941
58,59,Dorival Caymmi,O Mar,1941
59,60,Glenn Miller,Adios,1941
60,61,Tommy Dorsey & Frank Sinatra,Two in Love,1941
61,62,Jimmy Dorsey,Jim,1941
62,63,Harry James,By the Sleepy Lagoon,1941
63,64,Ray Noble,By the Light of the Silvery Moon,1941
64,65,Horace Heidt,The Hut Sut Song (A Swedish Serenade),1941
65,66,Kay Kyser,"Alexander the Swoose (Half Swan, Half Goose)",1941
66,67,Xavier Cugat,Green Eyes,1941
67,68,Xavier Cugat,"Chica, Chica, Boom, Chic",1941
68,69,Joel & Gaucho,Aurora,1941
69,70,Jay McShann,Vine Street Blues,1941
70,71,Glenn Miller,I Know Why,1941
71,72,Tommy Dorsey,Do I Worry?,1941
72,73,The Andrews Sisters,Bounce Me Brother,1941
73,74,Harry James,You Made Me Love You (I Didn’t Want to Do It),1941
74,75,Pedro Vargas,Besame Mucho,1941
75,76,Kay Kyser,(Lights Out) Til Reveille,1941
76,77,Tony Martin,The Last Time I Saw Paris,1941
77,78,Tommy Tucker,I Don’t Want to Set the World On Fire,1941
78,79,Guy Lombardo,Intermezzo (Souvenir De Vienne),1941
79,80,Anjos do Inferno,Voce Ja Foi a Bahia?,1941
80,1,The Andrews Sisters,Rum & Coca-Cola,1945
81,2,Les Brown,Sentimental Journey,1945
82,3,Perry Como,Till The End of Time,1945
83,4,Les Brown,My Dreams Are Getting Better All the Time,1945
84,5,Johnny Mercer,"On the Atchison, Topeka & the Santa Fe",1945
85,6,Harry James,"It’s Been a Long, Long Time",1945
86,7,Bing Crosby,I Can’t Begin to Tell You,1945
87,8,Johnny Mercer,Ac-cent-tchu-ate the Positive,1945
88,9,Sammy Kaye,Chickery Chick,1945
89,10,Vaughn Monroe,There! I’ve Said it Again,1945
90,11,Johnny Mercer & Joe Stafford,Candy,1945
91,12,Duke Ellington,I’m Beginning to See The Light,1945
92,13,Judy Garland,"On the Atchison, Topeka & the Santa Fe",1945
93,14,Ella Fitzgerald & The Ink Spots,I’m Beginning to See The Light,1945
94,15,Bing Crosby & Les Paul,"It’s Been a Long, Long Time",1945
95,16,Frank Sinatra,"Nancy, With The Laughing Face",1945
96,17,Louis Jordan,Caledonia,1945
97,18,Harry James,I’m Beginning to See The Light,1945
98,19,Bing Crosby & The Andrews Sisters,Ac-cent-tchu-ate the Positive,1945
99,20,The Pied Pipers,Dream,1945
100,21,Bing Crosby,"On the Atchison, Topeka & the Santa Fe",1945
101,22,Spike Jones,Cocktails For Two,1945
102,23,Billie Holiday,"Lover Man (Oh, Where Can You Be?)",1945
103,24,Bing Crosby,A Friend of Yours,1945
104,25,Frank Sinatra,A Friend of Yours,1945
105,26,Woody Herman,Laura,1945
106,27,Dick Haymes,It Might as Well Be Spring,1945
107,28,Helen Forrest & Dick Haymes,I’ll Buy That Dream,1945
108,29,Perry Como,If I Loved You,1945
109,30,Tommy Dorsey,Opus One,1945
110,31,Nelson Goncalves,Maria Bethania,1945
111,32,Bing Crosby,"Amor, Amor",1945
112,33,Louis Prima,Angelina,1945
113,34,Benny Goodman,Gotta Be This Or That,1945
114,35,Big Maceo Merriweather,Chicago Breakdown,1945
115,36,Frank Sinatra,Try a Little Tenderness,1945
116,37,Dick Haymes,Love Letters,1945
117,38,Dizzy Gillespie,Groovin’ High,1945
118,39,Perry Como,I’m Gonna Love That Gal,1945
119,40,Bing Crosby,You Belong To My Heart,1945
120,41,Frank Sinatra,Dream (When You’re Feeling Blue),1945
121,42,Louis Prima,Bell Bottom Trousers,1945
122,43,Dick Haymes,Laura,1945
123,44,Lucky Millinder,Who Threw the Whiskey in the Well,1945
124,45,Dorival Caymmi,Peguei Um Ita no Norte,1945
125,46,Stan Kenton,Tampico,1945
126,47,Frank Sinatra,Saturday Night (Is the Loneliest Night),1945
127,48,Russ Morgan,There Goes That Song Again,1945
128,49,Charlie Parker,Billie’s Bounce,1945
129,50,Dick Thomas,Sioux City Sue,1945
130,51,Frankie Carle,A Little On The Lonely Side,1945
131,52,Tex Ritter,You Two Timed Me Once Too Often,1945
132,53,Tex Ritter,You Will Have to Pay,1945
133,54,Jo Stafford,Symphony,1945
134,55,Tony Pastor & his Orchestra,Bell Bottom Trousers,1945
135,56,Peggy Lee,Waitin’ for the Train to Come In,1945
136,57,Joe Liggins,The Honeydripper (Parts 1 & 2),1945
137,58,Anjos do Inferno,Bolinha de Papel,1945
138,59,Jo Stafford,That’s for Me,1945
139,60,Frank Sinatra,I Dream of You,1945
140,61,The Mills Brothers,I Wish,1945
141,62,Dick Haymes,The More I See You,1945
142,63,Spike Jones,Holiday for strings,1945
143,64,Eddie Heywood,Begin the Beguine,1945
144,65,Bing Crosby & The Andrews Sisters,Along the Navajo Trail,1945
145,66,Coleman Hawkins,Rifftide,1945
146,67,Cyro Monteiro,Boogie-Woogie na Favela,1945
147,68,Frank Sinatra,You’ll Never Walk Alone,1945
148,69,Phil Moore Four,My Dreams Are Getting Better All the Time,1945
149,70,Guy Lombardo,Bell Bottom Trousers,1945
150,71,Dick Haymes,Till The End of Time,1945
151,72,Perry Como,Dig You Later (A-hubba Hubba Hubba),1945
152,73,Harry James,I’ll Buy That Dream,1945
153,74,Carmen Cavallaro,Chopin’s Polonaise,1945
154,75,Woody Herman,Caledonia,1945
155,76,Hal McIntyre & his Orchestra,Sentimental Journey,1945
156,77,Johnny Long,My Dreams Are Getting Better All the Time,1945
157,78,Betty Grable,I Can’t Begin to Tell You,1945
158,79,Gilberto Alves,Prece a Lua,1945
159,80,Dizzy Gillespie,Salt Peanuts,1945
160,1,Perry Como,Prisoner Of Love,1946
161,2,Eddy Howard,To Each His Own,1946
162,3,The Ink Spots,The Gypsy,1946
163,4,Frank Sinatra,Five Minutes More,1946
164,5,Frankie Carle,Rumors Are Flying,1946
165,6,Frankie Carle,Oh! What It Seemed To Be,1946
166,7,Johnny Mercer,Personality,1946
167,8,Bing Crosby and The Andrews Sisters,"South America, Take It Away",1946
168,9,Dinah Shore,The Gypsy,1946
169,10,Frank Sinatra,Oh! What It Seemed To Be,1946
170,11,Perry Como,Surrender,1946
171,12,Betty Hutton,"Doctor, Lawyer, Indian Chief",1946
172,13,Vaughn Monroe,"Let It Snow, Let It Snow, Let It Snow",1946
173,14,Freddy Martin,To Each His Own,1946
174,15,Kay Kyser,Ol’ Buttermilk Sky,1946
175,16,The Ink Spots,To Each His Own,1946
176,17,Freddy Martin,Symphony,1946
177,18,Sammy Kaye,The Old Lamplighter,1946
